epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.9491621851921082,0.13077351450920105,3e-05,0.98041170835495,0.05410528555512428
1,0.9867302179336548,0.0397353433072567,3e-05,0.9795816540718079,0.04883803054690361
2,0.9935252070426941,0.022234538570046425,3e-05,0.982237696647644,0.058762677013874054
3,0.9982923865318298,0.006251990329474211,5.9999998e-06,0.9887118339538574,0.041962750256061554
4,0.9993951916694641,0.0028764212038367987,5.9999998e-06,0.9893758296966553,0.052122414112091064
5,0.9997153878211975,0.0011651556706055999,1.1999999e-06,0.9898738265037537,0.049815740436315536
6,0.9998932480812073,0.0008489371393807232,2.4e-07,0.9895418286323547,0.05009021237492561
7,0.9998932480812073,0.0007581037352792919,1e-07,0.9895418286323547,0.050456151366233826
8,0.9998932480812073,0.0007275312673300505,1e-07,0.9897078275680542,0.05101146921515465
9,0.9998932480812073,0.0008039610693231225,1e-07,0.9897078275680542,0.05131121352314949
10,0.9998577237129211,0.0009278205689042807,1e-07,0.9897078275680542,0.05157938227057457
11,0.9998932480812073,0.0007135235937312245,1e-07,0.9895418286323547,0.0518181249499321
12,0.9998932480812073,0.0008195919217541814,1e-07,0.9898738265037537,0.05219386890530586
13,0.9998577237129211,0.0007559702498838305,1e-07,0.9900398254394531,0.05238853394985199
14,0.9998932480812073,0.0006638765335083008,1e-07,0.9897078275680542,0.05294747278094292
15,0.9997865557670593,0.000784742645919323,1e-07,0.9900398254394531,0.05311558023095131
